price,surface,type_of_property,number_of_bedrooms,postal_code,land_surface,garden,garden_surface,fully_equipped_kitchen,swimming_pool,furnished,open_fire,terrace,terrace_surface,number_of_facades,state_of_the_building,zip_code_xx
100000,150,HOUSE,2,5377,198,0,0,0,0,0,0,1,0,3,TO_RENOVATE,zc_53
219000,100,APARTMENT,2,5500,0,0,0,1,0,0,0,1,0,3,GOOD,zc_55
285000,81,APARTMENT,2,5030,0,0,0,1,0,0,0,1,6,2,NEW,zc_50
284000,150,APARTMENT,2,5060,0,0,0,0,0,0,0,1,16,3,NEW,zc_50
179000,150,HOUSE,2,5170,1013,1,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_51
275000,510,HOUSE,5,5651,4137,0,0,0,1,0,0,0,0,3,TO_RENOVATE,zc_56
249000,386,HOUSE,3,5543,938,1,757,0,0,0,0,1,130,2,TO_RENOVATE,zc_55
260000,245,HOUSE,4,5060,632,1,632,0,0,0,0,1,95,2,GOOD,zc_50
259000,110,HOUSE,3,5020,830,0,0,1,0,0,0,1,0,4,JUST_RENOVATED,zc_50
310269,160,HOUSE,2,5020,606,1,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_50
145000,45,APARTMENT,1,5000,0,0,0,0,0,0,0,0,0,1,GOOD,zc_50
165000,135,APARTMENT,2,5190,0,0,0,0,0,1,0,1,0,1,TO_RENOVATE,zc_51
380000,200,HOUSE,3,5140,1670,0,0,0,0,0,0,1,0,4,JUST_RENOVATED,zc_51
159000,175,HOUSE,4,5680,600,0,0,0,0,0,0,0,0,3,NEW,zc_56
295000,184,HOUSE,4,5030,600,1,600,0,0,0,0,0,0,2,GOOD,zc_50
220000,76,APARTMENT,2,5030,0,1,0,0,0,0,0,0,0,2,GOOD,zc_50
140000,60,OTHER,2,5540,458,1,458,0,0,0,0,0,0,2,TO_RENOVATE,zc_55
229000,250,HOUSE,6,5550,1425,0,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_55
239000,204,HOUSE,2,5070,491,0,0,0,0,0,0,0,0,2,TO_RENOVATE,zc_50
475000,275,HOUSE,3,5670,345,0,0,1,0,0,0,1,50,3,JUST_RENOVATED,zc_56
270000,220,HOUSE,3,5600,427,1,125,0,0,0,0,1,45,3,NEW,zc_56
350000,280,HOUSE,4,5370,1206,1,1000,0,0,0,1,1,24,4,JUST_RENOVATED,zc_53
199000,125,HOUSE,3,5060,900,0,0,0,0,0,0,0,0,3,TO_RENOVATE,zc_50
450000,400,HOUSE,4,5550,0,1,150,0,0,0,1,1,30,4,JUST_RENOVATED,zc_55
362000,133,APARTMENT,3,5020,0,0,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_50
225000,150,HOUSE,3,5030,666,1,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_50
195000,130,HOUSE,3,5070,288,1,0,0,0,0,0,1,0,2,GOOD,zc_50
239000,161,HOUSE,3,5020,1522,1,0,0,0,0,0,0,0,3,TO_RENOVATE,zc_50
275000,112,HOUSE,3,5030,968,1,0,0,0,0,1,0,0,4,JUST_RENOVATED,zc_50
750000,432,HOUSE,8,5590,3000,1,0,0,0,0,0,1,0,4,GOOD,zc_55
229000,132,HOUSE,3,5100,413,1,0,0,0,0,0,0,0,2,TO_RENOVATE,zc_51
234000,86,APARTMENT,2,5020,0,0,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_50
399000,144,HOUSE,4,5030,567,1,475,0,0,0,0,1,44,4,GOOD,zc_50
315000,185,HOUSE,3,5170,818,1,818,1,0,0,1,1,40,4,GOOD,zc_51
210000,187,HOUSE,3,5530,392,0,0,0,0,0,0,0,0,2,TO_RENOVATE,zc_55
265000,94,APARTMENT,2,5030,0,0,0,0,0,0,0,0,0,1,TO_RENOVATE,zc_50
375000,262,HOUSE,5,5555,3511,0,0,0,0,0,0,1,0,4,TO_RENOVATE,zc_55
265000,195,HOUSE,3,5100,141,0,0,0,0,0,0,0,0,3,TO_RENOVATE,zc_51
195000,130,HOUSE,2,5070,80,0,0,0,0,0,0,0,0,2,GOOD,zc_50
299000,105,APARTMENT,2,5310,0,0,0,0,0,0,0,1,39,3,GOOD,zc_53
290000,180,HOUSE,5,5030,550,1,440,0,0,0,0,0,0,4,TO_RENOVATE,zc_50
415000,462,HOUSE,5,5070,955,1,833,1,0,0,1,1,50,2,NEW,zc_50
139000,155,HOUSE,4,5580,357,0,0,0,0,0,0,1,0,3,TO_REBUILD,zc_55
260000,149,HOUSE,3,5000,376,1,0,0,0,0,0,1,18,2,NEW,zc_50
134999,258,APARTMENT,4,5070,0,0,0,1,0,0,0,0,0,2,TO_RENOVATE,zc_50
290000,180,APARTMENT,3,5190,500,1,500,0,0,0,0,1,0,1,GOOD,zc_51
205000,87,APARTMENT,3,5030,0,0,0,0,0,0,0,0,0,2,GOOD,zc_50
795000,444,HOUSE,7,5650,50000,0,0,0,0,0,0,1,0,4,TO_RENOVATE,zc_56
160000,93,HOUSE,4,5140,550,0,0,1,0,0,0,0,0,3,GOOD,zc_51
69000,99,HOUSE,4,5670,238,0,0,0,1,0,0,1,0,2,TO_REBUILD,zc_56
110000,145,HOUSE,2,5060,0,0,0,0,0,0,0,0,0,3,TO_RENOVATE,zc_50
199000,235,HOUSE,4,5060,588,0,0,0,0,0,0,1,40,3,JUST_RENOVATED,zc_50
189000,145,HOUSE,4,5680,1081,1,984,0,0,0,0,1,18,3,GOOD,zc_56
200000,976,HOUSE,0,5660,8234,0,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_56
109000,119,HOUSE,3,5522,194,0,0,0,0,0,0,0,0,2,TO_RENOVATE,zc_55
335000,230,HOUSE,4,5350,655,0,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_53
287000,165,HOUSE,4,5140,1820,1,1820,0,0,0,0,1,20,2,GOOD,zc_51
299000,255,HOUSE,6,5670,258,1,110,0,0,0,0,1,11,2,JUST_RENOVATED,zc_56
80000,140,HOUSE,2,5620,0,1,65,0,0,0,0,0,0,3,TO_RENOVATE,zc_56
245000,160,HOUSE,3,5377,1758,0,0,0,0,0,1,1,10,4,GOOD,zc_53
125000,50,APARTMENT,1,5020,0,0,0,0,0,0,0,0,0,4,GOOD,zc_50
199000,135,HOUSE,3,5060,1,1,8,0,0,0,0,0,0,2,JUST_RENOVATED,zc_50
149000,170,HOUSE,4,5640,304,1,304,0,0,0,0,0,0,3,TO_REBUILD,zc_56
320000,154,HOUSE,3,5500,995,1,995,1,0,0,0,1,14,2,GOOD,zc_55
155000,118,APARTMENT,2,5020,0,0,0,1,0,0,0,0,0,3,JUST_RENOVATED,zc_50
790000,350,HOUSE,4,5574,22374,1,0,0,0,0,1,0,0,4,GOOD,zc_55
380700,150,HOUSE,3,5060,1132,0,0,0,0,0,0,0,0,4,TO_RENOVATE,zc_50
330000,240,HOUSE,5,5020,1025,1,695,0,0,0,0,1,38,4,GOOD,zc_50
350000,200,HOUSE,4,5140,2178,1,0,1,0,0,1,1,40,4,JUST_RENOVATED,zc_51
235000,160,HOUSE,3,5300,626,1,0,1,0,0,0,1,0,2,GOOD,zc_53
162800,59,APARTMENT,1,5300,0,0,0,0,0,0,0,1,5,1,TO_RENOVATE,zc_53
279000,177,HOUSE,3,5000,241,1,0,0,0,0,0,1,25,2,TO_RENOVATE,zc_50
165000,47,APARTMENT,1,5100,0,0,0,1,0,0,0,0,0,1,TO_RENOVATE,zc_51
325000,133,HOUSE,2,5340,1465,1,0,0,0,0,1,1,0,4,GOOD,zc_53
145000,150,HOUSE,3,5502,4707,1,4707,1,0,0,0,0,0,2,TO_RENOVATE,zc_55
225000,38,APARTMENT,1,5004,0,1,0,1,0,0,0,1,9,1,TO_RENOVATE,zc_50
272500,100,APARTMENT,2,5100,0,0,0,0,0,0,0,1,15,4,TO_RENOVATE,zc_51
115000,108,HOUSE,3,5300,811,0,0,0,0,0,0,1,0,4,TO_RENOVATE,zc_53
265000,149,HOUSE,4,5000,284,0,0,1,0,0,0,1,18,2,GOOD,zc_50
379000,185,HOUSE,4,5340,1349,1,0,0,0,0,0,1,0,2,TO_RENOVATE,zc_53
80000,140,HOUSE,0,5660,0,0,0,0,0,0,0,0,0,2,TO_REBUILD,zc_56
189000,132,APARTMENT,2,5060,0,0,0,0,0,0,0,0,0,1,TO_RENOVATE,zc_50
359000,161,HOUSE,3,5060,685,0,0,0,0,0,0,0,0,2,TO_RENOVATE,zc_50
1250000,570,OTHER,10,5380,5931,1,3000,1,0,0,0,1,90,4,TO_RENOVATE,zc_53
278000,450,OTHER,0,5190,535,1,100,1,0,0,0,0,0,4,TO_RENOVATE,zc_51
315000,145,HOUSE,3,5370,588,1,508,0,0,0,0,1,0,4,TO_RENOVATE,zc_53
